index,title,price,area,floor,location,link,fullText
1,추천,70/70,,5층,강남구 역삼동,,"추천
월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
2,추천,70/70,,5층,강남구 역삼동,,"추천
월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
3,추천,70/70,,5층,강남구 역삼동,,"추천
월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
4,추천,70/70,,5층,강남구 역삼동,,"추천
월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
5,월세 70/70,70/70,,5층,강남구 역삼동,,"월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
6,월세 70/70,70/70,,5층,강남구 역삼동,,"월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
7,월세 70/70,70/70,,5층,강남구 역삼동,,"월세 70/70
관리비 9만원
단기 ・ 오픈형 원룸 · 22.01m² · 5층
강남구 역삼동
강남이 한눈에 보이는 베란다 품은 채광만점 오픈형 원룸."
8,추천,200/110,,1층,강남구 역삼동,,"추천
월세 200/110
관리비 10만원
단기 ・ 분리형 원룸 · 36.36m² · 1층
강남구 역삼동
oO친절안내Oo깔끔함과 컨디션굿 미닫이 분리형원룸"
9,추천,200/110,,1층,강남구 역삼동,,"추천
월세 200/110
관리비 10만원
단기 ・ 분리형 원룸 · 36.36m² · 1층
강남구 역삼동
oO친절안내Oo깔끔함과 컨디션굿 미닫이 분리형원룸"
10,추천,200/110,,1층,강남구 역삼동,,"추천
월세 200/110
관리비 10만원
단기 ・ 분리형 원룸 · 36.36m² · 1층
강남구 역삼동
oO친절안내Oo깔끔함과 컨디션굿 미닫이 분리형원룸"
